  
       RFOIL         Version 1.1
  
 Calculated polar for: NACA 2412                       
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     8.900 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -13.000  -1.1982   0.01094   8.90000  -0.0539  0.9946  0.0099   0.00713
 -12.000  -1.0942   0.00987   8.90000  -0.0531  0.9795  0.0108   0.00602
 -11.000  -0.9913   0.00894   8.90000  -0.0517  0.9544  0.0121   0.00502
 -10.000  -0.8842   0.00821   8.90000  -0.0510  0.9199  0.0135   0.00419
  -9.000  -0.7745   0.00756   8.90000  -0.0507  0.8864  0.0154   0.00346
  -8.000  -0.6635   0.00702   8.90000  -0.0505  0.8425  0.0183   0.00282
  -7.000  -0.5514   0.00657   8.90000  -0.0505  0.7917  0.0224   0.00228
  -6.000  -0.4384   0.00625   8.90000  -0.0506  0.7330  0.0280   0.00184
  -5.000  -0.3249   0.00598   8.90000  -0.0508  0.6742  0.0370   0.00147
  -4.000  -0.2110   0.00577   8.90000  -0.0511  0.6126  0.0521   0.00118
  -3.000  -0.0969   0.00562   8.90000  -0.0514  0.5515  0.0752   0.00096
  -2.000   0.0176   0.00547   8.90000  -0.0517  0.4997  0.1138   0.00081
  -1.000   0.1322   0.00536   8.90000  -0.0521  0.4525  0.1640   0.00073
   0.000   0.2467   0.00529   8.90000  -0.0525  0.4083  0.2321   0.00072
   1.000   0.3602   0.00537   8.90000  -0.0527  0.3463  0.3066   0.00080
   2.000   0.4721   0.00557   8.90000  -0.0528  0.2720  0.4035   0.00098
   3.000   0.5820   0.00586   8.90000  -0.0525  0.1889  0.5475   0.00129
   4.000   0.6917   0.00624   8.90000  -0.0522  0.1245  0.6695   0.00169
   5.000   0.8001   0.00666   8.90000  -0.0517  0.0745  0.8055   0.00219
   6.000   0.9058   0.00702   8.90000  -0.0505  0.0479  0.9434   0.00274
   7.000   1.0184   0.00767   8.90000  -0.0509  0.0320  0.9995   0.00335
   8.000   1.1239   0.00841   8.90000  -0.0499  0.0235  1.0000   0.00401
   9.000   1.2276   0.00920   8.90000  -0.0487  0.0184  1.0000   0.00474
  10.000   1.3289   0.01011   8.90000  -0.0472  0.0148  1.0000   0.00561
  11.000   1.4267   0.01112   8.90000  -0.0453  0.0124  1.0000   0.00660
  12.000   1.5201   0.01225   8.90000  -0.0427  0.0107  1.0000   0.00772
  13.000   1.6060   0.01354   8.90000  -0.0390  0.0094  1.0000   0.00904
  14.000   1.6701   0.01518   8.90000  -0.0317  0.0083  1.0000   0.01073
  15.000   1.7276   0.01722   8.90000  -0.0246  0.0078  1.0000   0.01286
  16.000   1.7680   0.02041   8.90000  -0.0169  0.0072  1.0000   0.01617
  17.000   1.7872   0.02555   8.90000  -0.0098  0.0066  1.0000   0.02149
  18.000   1.7865   0.03326   8.90000  -0.0052  0.0064  1.0000   0.02944
