   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.255322    0.077007    0.242665    0.059212    0.016906    0.039334
    0.250277    0.076712    0.247543    0.059349    0.017095    0.038114
    0.245283    0.076400    0.252469    0.059473    0.017279    0.036883
    0.240338    0.076072    0.257444    0.059585    0.017460    0.035639
    0.235444    0.075727    0.262467    0.059684    0.017636    0.034383
    0.230600    0.075366    0.267539    0.059770    0.017807    0.033115
    0.225806    0.074989    0.272659    0.059844    0.017973    0.031835
    0.221062    0.074596    0.277828    0.059904    0.018134    0.030543
    0.216368    0.074188    0.283045    0.059952    0.018290    0.029239
    0.211725    0.073765    0.288311    0.059987    0.018441    0.027922
    0.207132    0.073327    0.293625    0.060008    0.018586    0.026594
    0.202589    0.072874    0.298988    0.060017    0.018725    0.025253
    0.198097    0.072406    0.304400    0.060013    0.018858    0.023900
    0.193655    0.071925    0.309859    0.059995    0.018984    0.022535
    0.189263    0.071430    0.315368    0.059964    0.019105    0.021158
    0.184922    0.070921    0.320925    0.059920    0.019218    0.019769
    0.180631    0.070399    0.326531    0.059862    0.019325    0.018367
    0.176391    0.069864    0.332185    0.059791    0.019425    0.016954
    0.172201    0.069316    0.337887    0.059707    0.019518    0.015528
    0.168062    0.068755    0.343639    0.059609    0.019603    0.014090
    0.163973    0.068182    0.349438    0.059498    0.019680    0.012640
    0.159935    0.067597    0.355286    0.059373    0.019750    0.011178
    0.155947    0.067000    0.361183    0.059235    0.019812    0.009704
    0.152010    0.066392    0.367129    0.059083    0.019865    0.008218
    0.148123    0.065772    0.373122    0.058917    0.019910    0.006719
    0.144287    0.065142    0.379165    0.058738    0.019946    0.005209
    0.140502    0.064500    0.385256    0.058546    0.019973    0.003686
    0.136767    0.063849    0.391395    0.058339    0.019991    0.002151
    0.133083    0.063187    0.397583    0.058119    0.019999    0.000604
    0.129449    0.062514    0.403820    0.057886    0.019999   -0.000424
    0.125866    0.061833    0.410105    0.057638    0.019994   -0.001123
    0.122333    0.061141    0.416438    0.057377    0.019985   -0.001826
    0.118851    0.060441    0.422820    0.057103    0.019971   -0.002536
    0.115420    0.059731    0.429251    0.056814    0.019952   -0.003250
    0.112039    0.059013    0.435730    0.056512    0.019929   -0.003970
    0.108709    0.058286    0.442258    0.056196    0.019901   -0.004695
    0.105429    0.057551    0.448834    0.055867    0.019868   -0.005426
    0.102200    0.056808    0.455459    0.055524    0.019829   -0.006162
    0.099022    0.056057    0.462132    0.055167    0.019786   -0.006904
    0.095894    0.055299    0.468854    0.054796    0.019737   -0.007650
    0.092817    0.054533    0.475624    0.054412    0.019682   -0.008403
    0.089790    0.053760    0.482443    0.054014    0.019622   -0.009160
    0.086814    0.052981    0.489311    0.053602    0.019557   -0.009923
    0.083888    0.052195    0.496227    0.053177    0.019486   -0.010692
    0.081013    0.051402    0.503191    0.052738    0.019408   -0.011466
    0.078188    0.050603    0.510204    0.052285    0.019325   -0.012245
    0.075414    0.049799    0.517266    0.051819    0.019236   -0.013030
    0.072691    0.048989    0.524376    0.051338    0.019141   -0.013820
    0.070017    0.048173    0.531534    0.050845    0.019039   -0.014615
    0.067395    0.047352    0.538742    0.050337    0.018931   -0.015416
    0.064822    0.046526    0.545997    0.049816    0.018816   -0.016222
    0.062300    0.045695    0.553301    0.049281    0.018694   -0.017033
    0.059829    0.044860    0.560654    0.048733    0.018566   -0.017850
    0.057408    0.044020    0.568056    0.048171    0.018431   -0.018673
    0.055037    0.043176    0.575505    0.047595    0.018289   -0.019501
    0.052716    0.042328    0.583004    0.047006    0.018139   -0.020334
    0.050446    0.041476    0.590551    0.046403    0.017983   -0.021172
    0.048226    0.040621    0.598146    0.045786    0.017819   -0.022016
    0.046057    0.039762    0.605790    0.045155    0.017647   -0.022866
    0.043937    0.038900    0.613482    0.044511    0.017468   -0.023720
    0.041868    0.038035    0.621223    0.043853    0.017281   -0.024580
    0.039849    0.037167    0.629013    0.043181    0.017086   -0.025446
    0.037880    0.036296    0.636851    0.042496    0.016883   -0.026317
    0.035962    0.035423    0.644738    0.041797    0.016672   -0.027193
    0.034093    0.034548    0.652673    0.041084    0.016453   -0.028075
    0.032275    0.033670    0.660657    0.040357    0.016225   -0.028962
    0.030506    0.032791    0.668689    0.039616    0.015989   -0.029854
    0.028788    0.031909    0.676770    0.038861    0.015744   -0.030752
    0.027119    0.031026    0.684899    0.038092    0.015491   -0.031655
    0.025501    0.030142    0.693077    0.037309    0.015228   -0.032564
    0.023933    0.029256    0.701303    0.036512    0.014956   -0.033478
    0.022414    0.028369    0.709578    0.035701    0.014676   -0.034398
    0.020946    0.027481    0.717901    0.034875    0.014385   -0.035322
    0.019527    0.026591    0.726273    0.034035    0.014086   -0.036253
    0.018158    0.025702    0.734694    0.033181    0.013777   -0.037188
    0.016839    0.024811    0.743163    0.032312    0.013458   -0.038129
    0.015569    0.023920    0.751680    0.031428    0.013129   -0.039076
    0.014350    0.023028    0.760247    0.030529    0.012790   -0.040027
    0.013180    0.022136    0.768861    0.029616    0.012441   -0.040985
    0.012060    0.021244    0.777524    0.028687    0.012082   -0.041947
    0.010989    0.020352    0.786236    0.027743    0.011712   -0.042915
    0.009968    0.019460    0.794996    0.026784    0.011332   -0.043888
    0.008997    0.018568    0.803805    0.025809    0.010941   -0.044867
    0.008075    0.017677    0.812662    0.024818    0.010539   -0.045851
    0.007203    0.016785    0.821568    0.023811    0.010127   -0.046841
    0.006380    0.015894    0.830522    0.022788    0.009703   -0.047836
